ticker,country,company_name,industry,sector,sub_industry,exchange,currency,market_cap_category,active,is_etf,yahoo_ticker,industry_keyword_1,industry_keyword_2,industry_keyword_3,ai_generated,ai_enhanced_at,competitor_1_name,competitor_1_ticker,competitor_2_name,competitor_2_ticker,competitor_3_name,competitor_3_ticker,upstream_1_name,upstream_1_ticker,upstream_2_name,upstream_2_ticker,downstream_1_name,downstream_1_ticker,downstream_2_name,downstream_2_ticker,geographic_markets,subsidiaries,financial_last_price,financial_price_change_pct,financial_yesterday_return_pct,financial_ytd_return_pct,financial_market_cap,financial_enterprise_value,financial_volume,financial_avg_volume,financial_analyst_target,financial_analyst_range_low,financial_analyst_range_high,financial_analyst_count,financial_analyst_recommendation,financial_snapshot_date,created_at,updated_at,data_source
AAME,CA,Atlantic American Corporation,Insurance,Financials,Life & Health Insurance,,,,FALSE,FALSE,AAME,insurance premiums,investment yields,insurance claims frequency,TRUE,2025-11-08T04:46:44.379224,"Citizens, Inc.",CIA,Unico American Corporation,UNAM,"Kingstone Companies, Inc.",KINS,,,,,,,,,United States (major),"Bankers Fidelity Life Insurance Company, American Southern Insurance Company",,,,,,,,,,,,,,,,,csv_import
AAMI,CA,Acadian Asset Management Inc.,Capital Markets,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,AAMI,,,,TRUE,2025-11-08T04:46:44.379241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
AAOI,CA,"Applied Optoelectronics, Inc.","Technology Hardware, Storage & Peripherals",Information Technology,Electronic Components,,,,FALSE,FALSE,AAOI,data center spending,optical component pricing,broadband network upgrades,TRUE,2025-11-08T04:46:44.379251,Lumentum Holdings Inc.,LITE,Coherent Corp.,COHR,Infinera Corporation,INFN,"AXT, Inc.",AXTI,,,Microsoft Corporation,MSFT,"Meta Platforms, Inc.",META,"United States (major), Taiwan (major), China (major)",,,,,,,,,,,,,,,,,,csv_import
AAON,CA,"AAON, Inc.",Building Products,Industrials,Building Products,,,,FALSE,FALSE,AAON,commercial construction spending,steel prices,HVAC energy efficiency standards,TRUE,2025-11-08T04:46:44.379260,Trane Technologies plc,TT,Carrier Global Corporation,CARR,Lennox International Inc.,LII,Emerson Electric Co.,EMR,Regal Rexnord Corporation,RRX,,,,,"United States (major), Canada (minor)","BasX, Inc.",,,,,,,,,,,,,,,,,csv_import
AAP,CA,"Advance Auto Parts, Inc.",Specialty Retail,Consumer Discretionary,Automotive Retail,,,,FALSE,FALSE,AAP,average vehicle age,vehicle miles driven,used car sales,TRUE,2025-11-08T04:46:44.379268,"AutoZone, Inc.",AZO,"O'Reilly Automotive, Inc.",ORLY,Genuine Parts Company,GPC,,,,,Driven Brands Holdings Inc.,DRVN,Icahn Enterprises L.P.,IEP,"United States (major), Canada (major), Puerto Rico (minor)","Worldpac, Carquest Auto Parts",,,,,,,,,,,,,,,,,csv_import
AAPG,CA,Ascentage Pharma Group International,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,AAPG,Biotech Funding,FDA Approval Rates,Biotech M&A Activity,TRUE,2025-11-08T04:47:29.982086,"BeiGene, Ltd.",BGNE,Zai Lab Limited,ZLAB,HUTCHMED (China) Limited,HCM,IQVIA Holdings Inc.,IQV,,,"Merck & Co., Inc.",MRK,Bristol-Myers Squibb Company,BMY,"China (major), United States (major), Global (minor)","Ascentage Pharma (Suzhou) Co., Ltd.",,,,,,,,,,,,,,,,,csv_import
AAPL,US,Apple Inc.,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",,,,FALSE,FALSE,AAPL,smartphone sales,consumer electronics spending,digital advertising spending,TRUE,2025-11-08T04:47:29.982105,"Samsung Electronics Co., Ltd.",005930.KS,Microsoft Corporation,MSFT,Alphabet Inc.,GOOGL,Taiwan Semiconductor Manufacturing Company Limited,TSM,"Hon Hai Precision Industry Co., Ltd.",2317.TW,"Best Buy Co., Inc.",BBY,Verizon Communications Inc.,VZ,"United States (major), China (major), Europe (major)","Beats Electronics, Shazam",,,,,,,,,,,,,,,,,csv_import
AARD,CA,"Aardvark Therapeutics, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,AARD,Biotech Funding,FDA Approval Rates,Obesity Drug Development,TRUE,2025-11-08T04:47:29.982113,"Viking Therapeutics, Inc.",VKTX,Structure Therapeutics Inc.,GPCR,"Madrigal Pharmaceuticals, Inc.",MDGL,Laboratory Corporation of America Holdings,LH,,,Eli Lilly and Company,LLY,Novo Nordisk A/S,NVO,United States (major),,,,,,,,,,,,,,,,,,csv_import
AAT,CA,"American Assets Trust, Inc.",Equity Real Estate Investment Trusts (REITs),Real Estate,Diversified REITs,,,,FALSE,FALSE,AAT,interest rates,Office Vacancy Rates,Retail Rent Growth,TRUE,2025-11-08T04:47:29.982120,"Douglas Emmett, Inc.",DEI,Kilroy Realty Corporation,KRC,"Essex Property Trust, Inc.",ESS,,,,,,,,,United States - West Coast (major),"American Assets, L.P.",,,,,,,,,,,,,,,,,csv_import
AAUC,CA,Allied Gold Corporation,Gold,Materials,,,,,FALSE,FALSE,AAUC,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
AAUC.TO,CA,Allied Gold Corporation,Gold,Materials,Gold,,,,FALSE,FALSE,AAUC.TO,gold price,mining costs,central bank policy,TRUE,2025-11-08T04:48:21.902727,B2Gold Corp.,BTO.TO,Endeavour Mining plc,EDV.L,Perseus Mining Limited,PRU.AX,,,,,,,,,"Mali (major), Côte d'Ivoire (major), Ethiopia (minor)",,,,,,,,,,,,,,,,,,csv_import
AAV.TO,CA,Advantage Energy Ltd.,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,,,,FALSE,FALSE,AAV.TO,natural gas price,oil price,drilling costs,TRUE,2025-11-08T04:48:21.902741,Tourmaline Oil Corp.,TOU.TO,ARC Resources Ltd.,ARX.TO,Peyto Exploration & Development Corp.,PEY.TO,Halliburton Company,HAL,Schlumberger Limited,SLB,TC Energy Corporation,TRP.TO,Enbridge Inc.,ENB.TO,Canada - Alberta (major),Entropy Inc.,,,,,,,,,,,,,,,,,csv_import
AB,CA,AllianceBernstein Holding L.P.,Asset Management,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,AB,asset management flows,equity market performance,interest rates,TRUE,2025-11-08T04:48:21.902745,"T. Rowe Price Group, Inc.",TROW,"Franklin Resources, Inc.",BEN,Invesco Ltd.,IVZ,,,,,,,,,"United States (major), Europe (major), Asia-Pacific (major)","Sanford C. Bernstein, AB Private Credit Investors",,,,,,,,,,,,,,,,,csv_import
ABAT,CA,American Battery Technology Company,Waste Management,Industrials,Environmental & Facilities Services,,,,FALSE,FALSE,ABAT,lithium price,EV battery recycling,electric vehicle sales,TRUE,2025-11-08T04:48:21.902750,Li-Cycle Holdings Corp.,LICY,"Aqua Metals, Inc.",AQMS,,,General Motors Company,GM,,,Panasonic Holdings Corporation,PCRFY,"LG Energy Solution, Ltd.",373220.KS,United States (major),,,,,,,,,,,,,,,,,,csv_import
ABBV,US,AbbVie Inc.,Drug Manufacturers - General,Healthcare,Pharmaceuticals,,,,FALSE,FALSE,ABBV,drug pricing policy,prescription volumes,biosimilar competition,TRUE,2025-11-08T04:48:21.902755,Johnson & Johnson,JNJ,"Merck & Co., Inc.",MRK,Bristol-Myers Squibb Company,BMY,"Catalent, Inc.",CTLT,,,"Cencora, Inc.",COR,McKesson Corporation,MCK,"United States (major), Europe (major), Japan (major)","Allergan, Pharmacyclics",,,,,,,,,,,,,,,,,csv_import
ABCB,CA,Ameris Bancorp,Banks - Regional,Financials,Regional Banks,,,,FALSE,FALSE,ABCB,interest rates,loan growth,credit quality,TRUE,2025-11-08T04:49:09.171284,Synovus Financial Corp.,SNV,"United Community Banks, Inc.",UCBI,Cadence Bank,CADE,"Fiserv, Inc.",FISV,,,,,,,United States - Southeast (major),Ameris Bank,,,,,,,,,,,,,,,,,csv_import
ABCL,CA,AbCellera Biologics Inc.,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ABCL,Pharma R&D Spending,Biotech Funding,Drug Discovery Partnerships,TRUE,2025-11-08T04:49:09.171299,"Schrödinger, Inc.",SDGR,Twist Bioscience Corporation,TWST,,,Thermo Fisher Scientific Inc.,TMO,,,Eli Lilly and Company,LLY,"Gilead Sciences, Inc.",GILD,"North America (major), Europe (major), Asia (minor)",,,,,,,,,,,,,,,,,,csv_import
ABEO,CA,Abeona Therapeutics Inc.,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ABEO,FDA Regulatory Decisions,Gene Therapy M&A,Biotech Funding,TRUE,2025-11-08T04:49:09.171304,"Krystal Biotech, Inc.",KRYS,"Rocket Pharmaceuticals, Inc.",RCKT,"Sarepta Therapeutics, Inc.",SRPT,"Catalent, Inc.",CTLT,Lonza Group AG,LONN.SW,,,,,"United States (major), Europe (major)",,,,,,,,,,,,,,,,,,csv_import
ABEV,CA,Ambev S.A.,Beverages - Brewers,Consumer Staples,Brewers,,,,FALSE,FALSE,ABEV,Brazil Consumer Spending,aluminum prices,BRL/USD exchange rate,TRUE,2025-11-08T04:49:09.171309,Heineken N.V.,HEIA.AS,The Coca-Cola Company,KO,"Fomento Económico Mexicano, S.A.B. de C.V.",FMX,Ball Corporation,BALL,Archer-Daniels-Midland Company,ADM,"Walmart de México, S.A.B. de C.V.",WMMVY,,,"Brazil (major), Latin America South (major), Central America & Caribbean (major), Canada (minor)","Cervejaria Ambev, Labatt Brewing Company",,,,,,,,,,,,,,,,,csv_import
ABG,CA,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,Consumer Discretionary,Automotive Retail,,,,FALSE,FALSE,ABG,Used Car Prices,Auto Loan Interest Rates,New Vehicle Inventory,TRUE,2025-11-08T04:49:09.171313,"AutoNation, Inc.",AN,"Penske Automotive Group, Inc.",PAG,"Lithia Motors, Inc.",LAD,Toyota Motor Corporation,TM,"Honda Motor Co., Ltd.",HMC,Ally Financial Inc.,ALLY,Capital One Financial Corporation,COF,United States (major),"Larry H. Miller Dealerships, Park Place Dealerships",,,,,,,,,,,,,,,,,csv_import
ABL,CA,AbCellera Biologics Inc.,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,Biotechnology,,,,FALSE,FALSE,ABL,Biopharma R&D Spending,Drug Discovery Partnerships,Biotech Venture Funding,TRUE,2025-11-08T04:49:55.345400,"Schrödinger, Inc.",SDGR,"Recursion Pharmaceuticals, Inc.",RXRX,"Certara, Inc.",CERT,,,,,Eli Lilly and Company,LLY,"Gilead Sciences, Inc.",GILD,"North America (major), Europe (major), Asia (minor)",,,,,,,,,,,,,,,,,,csv_import
ABLV,CA,Able View Global Inc.,Media & Entertainment,Communication Services,Advertising,,,,FALSE,FALSE,ABLV,China Consumer Spending,China E-commerce Growth,Digital Advertising Spending,TRUE,2025-11-08T04:49:55.345418,Baozun Inc.,BZUN,Weimob Inc.,2013.HK,iClick Interactive Asia Group Limited,ICLK,Alibaba Group Holding Limited,BABA,Tencent Holdings Limited,TCEHY,,,,,China (major),,,,,,,,,,,,,,,,,,csv_import
ABM,CA,ABM Industries Incorporated,Capital Goods,Industrials,Environmental & Facilities Services,,,,FALSE,FALSE,ABM,Commercial Real Estate Occupancy,Labor Costs,Corporate Outsourcing Trends,TRUE,2025-11-08T04:49:55.345426,"EMCOR Group, Inc.",EME,"Comfort Systems USA, Inc.",FIX,"Tetra Tech, Inc.",TTEK,,,,,,,,,"United States (major), United Kingdom (minor)","ABM Janitorial Services, ABM Technical Solutions, ABM Aviation",,,,,,,,,,,,,,,,,csv_import
ABNB,CA,"Airbnb, Inc.",Consumer Services,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,FALSE,FALSE,ABNB,Global Travel Demand,Short-term Rental Regulation,Average Daily Rates,TRUE,2025-11-08T04:49:55.345433,Booking Holdings Inc.,BKNG,"Expedia Group, Inc.",EXPE,"Marriott International, Inc.",MAR,,,,,,,,,"North America (major), Europe (major), Global (major)","HotelTonight, Luxury Retreats",,,,,,,,,,,,,,,,,csv_import
ABOS,CA,"Acumen Pharmaceuticals, Inc.","Pharmaceuticals, Biotechnology & Life Sciences",Health Care,Biotechnology,,,,FALSE,FALSE,ABOS,Alzheimer's Drug Development,Biotech Funding Environment,FDA Regulatory Policy,TRUE,2025-11-08T04:49:55.345440,Eli Lilly and Company,LLY,Biogen Inc.,BIIB,Prothena Corporation plc,PRTA,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
ABP,CA,Abpro Corporation,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ABP,Biotech Funding Environment,FDA Approval Rates,M&A Activity in Biotech,TRUE,2025-11-08T04:50:43.884635,"Adicet Bio, Inc.",ACET,"Iovance Biotherapeutics, Inc.",IOVA,"Arcellx, Inc.",ACLX,"Charles River Laboratories International, Inc.",CRL,,,Pfizer Inc.,PFE,"Merck & Co., Inc.",MRK,United States (major),,,,,,,,,,,,,,,,,,csv_import
ABR,CA,"Arbor Realty Trust, Inc.",REIT - Mortgage,Real Estate,Mortgage REITs,,,,FALSE,FALSE,ABR,interest rates,Commercial Loan Demand,Credit Spreads,TRUE,2025-11-08T04:50:43.884654,"Starwood Property Trust, Inc.",STWD,"Blackstone Mortgage Trust, Inc.",BXMT,KKR Real Estate Finance Trust Inc.,KREF,,,,,,,,,United States (major),"Arbor Commercial Mortgage, LLC",,,,,,,,,,,,,,,,,csv_import
ABRA.TO,CA,AbraSilver Resource Corp.,Other Precious Metals & Mining,Materials,Silver,,,,FALSE,FALSE,ABRA.TO,silver price,gold price,Argentina Economic Policy,TRUE,2025-11-08T04:50:43.884660,MAG Silver Corp.,MAG,SilverCrest Metals Inc.,SIL.TO,Vizsla Silver Corp.,VZLA,,,,,Barrick Gold Corporation,GOLD,Newmont Corporation,NEM,"Argentina (major), Chile (minor)",,,,,,,,,,,,,,,,,,csv_import
ABSI,CA,Absci Corporation,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ABSI,Pharma R&D Spending,AI in Drug Discovery,Biotech Partnership Deals,TRUE,2025-11-08T04:50:43.884666,"Schrödinger, Inc.",SDGR,"Recursion Pharmaceuticals, Inc.",RXRX,"Ginkgo Bioworks Holdings, Inc.",DNA,Thermo Fisher Scientific Inc.,TMO,"Amazon.com, Inc.",AMZN,"Merck & Co., Inc.",MRK,AstraZeneca PLC,AZN.L,"United States (major), Europe (major)",,,,,,,,,,,,,,,,,,csv_import
ABT,US,Abbott Laboratories,Medical Devices,Healthcare,Health Care Equipment,,,,FALSE,FALSE,ABT,Medical Device Sales,Diagnostic Testing Volumes,Emerging Markets Healthcare Spending,TRUE,2025-11-08T04:50:43.884671,Medtronic plc,MDT,Danaher Corporation,DHR,Johnson & Johnson,JNJ,,,,,"HCA Healthcare, Inc.",HCA,"Cardinal Health, Inc.",CAH,"United States (major), Europe (major), China (major), Other Emerging Markets (major)","St. Jude Medical, Alere Inc.",,,,,,,,,,,,,,,,,csv_import
ABTC,CA,American Battery Technology Company,Metals & Mining,Materials,Diversified Metals & Mining,,,,FALSE,FALSE,ABTC,lithium price,battery recycling regulations,EV battery demand,TRUE,2025-11-08T04:51:32.406316,Li-Cycle Holdings Corp.,LICY,"Aqua Metals, Inc.",AQMS,Umicore SA,UMI.BR,General Motors Company,GM,,,Panasonic Holdings Corporation,PCRFY,"LG Energy Solution, Ltd.",373220.KS,United States (major),,,,,,,,,,,,,,,,,,csv_import
ABTS,CA,Abits Group Inc.,Capital Markets,Financials,Financial Exchanges & Data,,,,FALSE,FALSE,ABTS,bitcoin price,crypto trading volumes,crypto regulations,TRUE,2025-11-08T04:51:32.406336,"Coinbase Global, Inc.",COIN,"Bakkt Holdings, Inc.",BKKT,"Robinhood Markets, Inc.",HOOD,,,,,,,,,"Asia (major), Global (minor)",,,,,,,,,,,,,,,,,,csv_import
ABUS,CA,Arbutus Biopharma Corporation,Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,ABUS,Hepatitis B treatment market,mRNA vaccine sales,biotech patent litigation,TRUE,2025-11-08T04:51:32.406347,"Vir Biotechnology, Inc.",VIR,"Arrowhead Pharmaceuticals, Inc.",ARWR,"Gilead Sciences, Inc.",GILD,,,,,"Moderna, Inc.",MRNA,Pfizer Inc.,PFE,"North America (major), Europe (major)",,,,,,,,,,,,,,,,,,csv_import
ABVC,CA,"ABVC BioPharma, Inc.",Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,ABVC,biotech funding environment,clinical trial success rates,FDA drug approvals,TRUE,2025-11-08T04:51:32.406355,Aeterna Zentaris Inc.,AEZS,"Atossa Therapeutics, Inc.",ATOS,"Cassava Sciences, Inc.",SAVA,,,,,,,,,"United States (major), Taiwan (major)","BioLite, Inc., BioFirst Corporation",,,,,,,,,,,,,,,,,csv_import
ABVE,CA,Above Food Corp.,Food Products,Consumer Staples,Packaged Foods & Meats,,,,FALSE,FALSE,ABVE,plant-based food demand,oat prices,grocery retail trends,TRUE,2025-11-08T04:51:32.406364,"Beyond Meat, Inc.",BYND,Oatly Group AB,OTLY,SunOpta Inc.,STKL,,,,,The Kroger Co.,KR,"Albertsons Companies, Inc.",ACI,"Canada (major), United States (major)",,,,,,,,,,,,,,,,,,csv_import
ABVX,CA,ABIVAX Société Anonyme,Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,ABVX,ulcerative colitis treatment,IBD drug development,biotech M&A activity,TRUE,2025-11-08T04:52:14.701562,Pfizer Inc.,PFE,Eli Lilly and Company,LLY,AbbVie Inc.,ABBV,,,,,,,,,"United States (major), Europe (major), Global (minor)",,,,,,,,,,,,,,,,,,csv_import
ABX.TO,CA,Barrick Gold Corporation,Metals & Mining,Materials,Gold,,,,FALSE,FALSE,ABX.TO,gold price,copper price,mining costs,TRUE,2025-11-08T04:52:14.701576,Newmont Corporation,NEM,Agnico Eagle Mines Limited,AEM,Kinross Gold Corporation,KGC,Caterpillar Inc.,CAT,,,,,,,"North America (major), South America (major), Africa (major), Middle East (minor)",Nevada Gold Mines LLC,,,,,,,,,,,,,,,,,csv_import
ACA,CA,"Arcosa, Inc.",Construction & Engineering,Industrials,Construction & Engineering,,,,FALSE,FALSE,ACA,infrastructure spending,construction activity,steel prices,TRUE,2025-11-08T04:52:14.701581,"Trinity Industries, Inc.",TRN,"Valmont Industries, Inc.",VMI,"Martin Marietta Materials, Inc.",MLM,Nucor Corporation,NUE,,,Union Pacific Corporation,UNP,"NextEra Energy, Inc.",NEE,"United States (major), Mexico (major)","Arcosa Construction Products, Arcosa Engineered Structures, Arcosa Transportation Products",,,,,,,,,,,,,,,,,csv_import
ACAD,CA,ACADIA Pharmaceuticals Inc.,Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,ACAD,Parkinsons disease treatment,Rett syndrome treatment,drug pricing policy,TRUE,2025-11-08T04:52:14.701587,"Neurocrine Biosciences, Inc.",NBIX,"Axsome Therapeutics, Inc.",AXSM,Biogen Inc.,BIIB,,,,,Cigna Group,CI,CVS Health Corporation,CVS,United States (major),,,,,,,,,,,,,,,,,,csv_import
ACB,CA,Aurora Cannabis Inc.,Pharmaceuticals,Health Care,Pharmaceuticals,,,,FALSE,FALSE,ACB,cannabis legalization,cannabis prices,medical cannabis demand,TRUE,2025-11-08T04:52:14.701592,Canopy Growth Corporation,CGC,"Tilray Brands, Inc.",TLRY,Cronos Group Inc.,CRON,Scotts Miracle-Gro Company,SMG,,,,,,,"Canada (major), Europe (major), Australia (minor)","MedReleaf Corp., CanniMed Therapeutics Inc., Whistler Medical Marijuana Corp.",,,,,,,,,,,,,,,,,csv_import
ACB.TO,CA,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,Healthcare,,,,,FALSE,FALSE,ACB.TO,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACCO,CA,ACCO Brands Corporation,Business Equipment & Supplies,Industrials,,,,,FALSE,FALSE,ACCO,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACCS,CA,ACCESS Newswire Inc.,Advertising Agencies,Communication Services,,,,,FALSE,FALSE,ACCS,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACDC,CA,ProFrac Holding Corp.,Oil & Gas Equipment & Services,Energy,,,,,FALSE,FALSE,ACDC,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACD.TO,CA,Accord Financial Corp.,Credit Services,Financials,,,,,FALSE,FALSE,ACD.TO,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACEL,CA,"Accel Entertainment, Inc.",Gambling,Consumer Discretionary,,,,,FALSE,FALSE,ACEL,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACET,CA,"Adicet Bio, Inc.",Biotechnology,Healthcare,,,,,FALSE,FALSE,ACET,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACFN,CA,"Acorn Energy, Inc.",Scientific & Technical Instruments,Technology,,,,,FALSE,FALSE,ACFN,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACGL,CA,Arch Capital Group Ltd.,Insurance - Diversified,Financials,,,,,FALSE,FALSE,ACGL,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACHC,CA,"Acadia Healthcare Company, Inc.",Medical Care Facilities,Healthcare,,,,,FALSE,FALSE,ACHC,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACHR,CA,Archer Aviation Inc.,Aerospace & Defense,Industrials,,,,,FALSE,FALSE,ACHR,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACHV,CA,"Achieve Life Sciences, Inc.",Biotechnology,Healthcare,,,,,FALSE,FALSE,ACHV,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACI,CA,"Albertsons Companies, Inc.",Grocery Stores,Consumer Staples,,,,,FALSE,FALSE,ACI,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACIC,CA,American Coastal Insurance Corporation,Insurance - Property & Casualty,Financials,,,,,FALSE,FALSE,ACIC,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACIU,CA,AC Immune SA,Biotechnology,Healthcare,,,,,FALSE,FALSE,ACIU,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
ACIW,CA,"ACI Worldwide, Inc.",Software - Infrastructure,Technology,,,,,FALSE,FALSE,ACIW,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_import
